2026-04-03 17:31:06 | INFO     | root | last_best_loss: 0.356   now_loss: 0.339
2026-04-03 17:31:06 | INFO     | root | 最优参数更新
2026-04-03 17:31:06 | INFO     | root | 输出奖励成功！共输出20个数据，奖励数据保存至/home/kemove/account/YZM_25/Reinforce-Learning-Trajectory-Planning/log/data/reward/26_04_02_01/reward.txt
2026-04-03 17:31:06 | INFO     | root | Episode 20 angles_error: [144.914  66.827  11.942   2.501  75.793 104.346]  angles_error_l2: 205.542
2026-04-03 17:31:08 | INFO     | root | last_best_loss: 0.339   now_loss: 0.326
2026-04-03 17:31:08 | INFO     | root | 最优参数更新
2026-04-03 17:31:08 | INFO     | root | Episode 21 angles_error: [ -55.696   13.432   46.666 -100.627   79.971  -76.496]  angles_error_l2: 166.832
2026-04-03 17:31:09 | INFO     | root | last_best_loss: 0.326   now_loss: 0.312
2026-04-03 17:31:09 | INFO     | root | 最优参数更新
2026-04-03 17:31:09 | INFO     | root | Episode 22 angles_error: [ -85.827 -200.557   57.243 -100.444   79.971 -165.87 ]  angles_error_l2: 307.999
2026-04-03 17:31:11 | INFO     | root | last_best_loss: 0.312   now_loss: 0.301
2026-04-03 17:31:11 | INFO     | root | 最优参数更新
2026-04-03 17:31:11 | INFO     | root | Episode 23 angles_error: [-107.275   47.663   37.064  -96.733   79.391 -104.421]  angles_error_l2: 204.248
2026-04-03 17:31:12 | INFO     | root | last_best_loss: 0.301   now_loss: 0.288
2026-04-03 17:31:12 | INFO     | root | 最优参数更新
2026-04-03 17:31:12 | INFO     | root | Episode 24 angles_error: [ 120.51  -199.959  -30.417 -100.627   58.999 -165.262]  angles_error_l2: 310.403
2026-04-03 17:31:13 | INFO     | root | last_best_loss: 0.288   now_loss: 0.278
2026-04-03 17:31:13 | INFO     | root | 最优参数更新
2026-04-03 17:31:13 | INFO     | root | Episode 25 angles_error: [-172.674 -162.345    2.701 -100.542    8.103 -204.067]  angles_error_l2: 328.630
2026-04-03 17:31:15 | INFO     | root | last_best_loss: 0.278   now_loss: 0.270
2026-04-03 17:31:15 | INFO     | root | 最优参数更新
2026-04-03 17:31:15 | INFO     | root | Episode 26 angles_error: [-178.376  134.922   13.428    2.634   79.345  137.245]  angles_error_l2: 274.483
2026-04-03 17:31:16 | INFO     | root | last_best_loss: 0.270   now_loss: 0.263
2026-04-03 17:31:16 | INFO     | root | 最优参数更新
2026-04-03 17:31:16 | INFO     | root | Episode 27 angles_error: [-219.829  -67.279   20.781 -100.627   34.669 -198.716]  angles_error_l2: 322.644
2026-04-03 17:31:18 | INFO     | root | last_best_loss: 0.263   now_loss: 0.262
2026-04-03 17:31:18 | INFO     | root | 最优参数更新
2026-04-03 17:31:18 | INFO     | root | Episode 28 angles_error: [-188.706 -200.462  124.358 -100.627  -17.666  -45.614]  angles_error_l2: 322.146
2026-04-03 17:32:52 | DEBUG    | matplotlib | matplotlib data path: /home/kemove/anaconda3/envs/yzm_RL/lib/python3.13/site-packages/matplotlib/mpl-data
2026-04-03 17:32:52 | DEBUG    | matplotlib | CONFIGDIR=/home/kemove/.config/matplotlib
2026-04-03 17:32:52 | DEBUG    | matplotlib | interactive is False
2026-04-03 17:32:52 | DEBUG    | matplotlib | platform is linux
2026-04-03 17:32:52 | DEBUG    | matplotlib | CACHEDIR=/home/kemove/.cache/matplotlib
2026-04-03 17:32:52 | DEBUG    | matplotlib.font_manager | Using fontManager instance from /home/kemove/.cache/matplotlib/fontlist-v390.json
2026-04-03 17:32:52 | INFO     | root | training start
2026-04-03 17:32:53 | INFO     | root | 读取训练数据成功！
2026-04-03 17:32:53 | INFO     | root | [1/100]trajectory angle_error: [ -34.777  259.343 -294.688   36.209  152.035  -94.568], begin_angle: [-336.703  -11.914  146.428   98.861  105.259  228.668], end_angle: [-221.962    5.657  119.688  228.791 -230.75  -265.432]
2026-04-03 17:32:53 | INFO     | root | [2/100]trajectory angle_error: [-446.274  334.908 -112.03   252.285  -25.401  117.714], begin_angle: [-313.56    23.278   16.622   52.473  113.05    38.343], end_angle: [  86.274  -69.908  -62.97    12.715   36.106 -334.802]
2026-04-03 17:32:54 | INFO     | root | [3/100]trajectory angle_error: [ -69.049  120.201 -124.24   190.306 -174.839  -31.801], begin_angle: [328.562  85.642 -47.084 151.035 250.17  258.161], end_angle: [ 167.807  144.799  -50.76    74.694  213.717 -231.3  ]
2026-04-03 17:32:54 | INFO     | root | [4/100]trajectory angle_error: [-295.263   27.103   -3.363  150.687 -203.609  133.709], begin_angle: [ 232.305  136.572  134.094  -41.35  -221.204 -352.055], end_angle: [  75.213  237.897 -171.637   85.441 -156.391 -307.725]
